"","continent","location","new_cases","total_cases","new_cases_per_million","new_deaths","total_deaths","new_deaths_per_million","population","cases_density_population"
"1","Asia","Myanmar",2,248,0.036,0,6,0,54806014,4.52505084569734e-06
"2","Asia","China",1,83023,0.001,0,4634,0,1444216102,5.74865491978845e-05
"3","Asia","Azerbaijan",590,14305,57.711,7,174,0.685,10223344,0.00139924862158605
"4","Asia","Iraq",2069,43262,50.244,101,1660,2.453,41179351,0.00105057508070003
"5","Asia","Tajikistan",80,4609,8.205,0,48,0,9749625,0.000472736130876829
"6","Asia","Tajikistan",69,4971,7.077,1,50,0.103,9749625,0.000509865764067849
"7","Asia","Armenia",459,19157,154.643,10,319,3.369,2968128,0.00645423647497682
"8","Asia","Israel",451,21645,48.542,2,311,0.215,9291000,0.0023296738779464
"9","Asia","Kazakhstan",902,16779,47.486,8,113,0.421,18994958,0.000883339673612334
"10","Asia","Malaysia",93,7970,2.837,0,115,0,32776195,0.000243164284322814
"11","Asia","Yemen",2,484,0.066,1,112,0.033,30490639,1.58737243912796e-05
"12","Asia","Israel",464,23112,49.941,3,321,0.323,9291000,0.00248756861478851
"13","Asia","Palestine",75,675,14.36,0,3,0,5222756,0.000129242108955502
"14","Asia","Georgia",3,812,0.754,0,13,0,3979773,0.000204031737488545
"15","Asia","Tajikistan",54,5567,5.539,0,52,0,9749625,0.000570996320371296
"16","Asia","Iran",2445,209970,28.755,121,9863,1.423,85028760,0.00246939976544407
"17","Asia","Kyrgyzstan",0,2166,0,0,26,0,6628347,0.000326778305360296
"18","Asia","Sri Lanka",16,1905,0.744,0,11,0,21497306,8.86157549229657e-05
"19","Asia","South Korea",48,12421,0.936,0,280,0,51305184,0.000242100291463724
"20","Asia","Oman",905,29471,173.26,3,131,0.574,5223376,0.00564213642670947
"21","Africa","Morocco",66,8997,1.767,1,213,0.027,37344787,0.000240917159334715
"22","Africa","Egypt",1218,50437,11.683,88,1938,0.844,104258327,0.000483769512242413
"23","Africa","Burundi",0,83,0,0,1,0,12255429,6.77250873878018e-06
"24","Africa","Zambia",8,1497,0.423,0,18,0,18920657,7.9119874114308e-05
"25","Africa","Congo",0,683,0,0,22,0,5657017,0.000120735009281393
"26","Africa","Mali",0,1933,0,0,109,0,20855724,9.26843872694134e-05
"27","Africa","Cape Verde",25,502,44.492,0,5,0,561901,0.000893395811717723
"28","Africa","Rwanda",31,541,2.335,0,2,0,13276517,4.0748639119733e-05
"29","Africa","Burundi",0,104,0,0,1,0,12255429,8.48603504618239e-06
"30","Africa","Tunisia",2,1162,0.168,0,50,0,11935764,9.73544718209911e-05
"31","Africa","Madagascar",93,1596,3.271,1,14,0.035,28427333,5.6143149271161e-05
"32","Africa","Tunisia",0,1087,0,0,49,0,11935764,9.10708355158497e-05
"33","Africa","Mali",36,1351,1.726,0,78,0,20855724,6.47783793072827e-05
"34","Africa","Somalia",58,2204,3.545,0,79,0,16359500,0.000134722943855252
"35","Africa","Liberia",11,421,2.123,1,32,0.193,5180208,8.12708678879304e-05
"36","Africa","Ethiopia",136,2156,1.154,0,27,0,117876226,1.82903718006717e-05
"37","Africa","Benin",1,244,0.08,0,3,0,12451031,1.95967707413145e-05
"38","Africa","Niger",3,1062,0.119,0,67,0,25130810,4.22588846121554e-05
"39","Africa","Botswana",3,92,1.251,0,1,0,2397240,3.83774674208673e-05
"40","Africa","Mozambique",20,509,0.622,0,2,0,32163045,1.58256160136579e-05
"41","Europe","North Macedonia",174,3538,83.547,5,169,2.401,2082661,0.00169878823293853
"42","Europe","Belarus",861,45116,91.18,5,248,0.53,9442867,0.00477778623801437
"43","Europe","Russia",8217,536484,56.315,143,7081,0.98,145912022,0.00367676352261091
"44","Europe","Norway",9,8455,1.647,1,237,0.183,5465629,0.00154693997708224
"45","Europe","Romania",214,24505,11.188,16,1539,0.836,19127772,0.00128112150228474
"46","Europe","Cyprus",2,974,2.232,0,18,0,896005,0.00108704750531526
"47","Europe","Czechia",62,9364,5.781,2,323,0.186,10724553,0.000873136623969316
"48","Europe","Cyprus",2,972,2.232,0,18,0,896005,0.0010848153749142
"49","Europe","Liechtenstein",0,83,0,0,1,0,38254,0.00216970774298113
"50","Europe","North Macedonia",90,5196,43.214,9,247,4.321,2082661,0.00249488514933539
"51","Europe","Luxembourg",4,4039,6.301,0,110,0,634814,0.0063624935807969
"52","Europe","Andorra",0,852,0,0,51,0,77354,0.0110142979031466
"53","Europe","Austria",14,17078,1.548,2,677,0.221,9043072,0.00188851753032598
"54","Europe","Norway",8,8628,1.464,0,242,0,5465629,0.00157859232670201
"55","Europe","Romania",321,24826,16.782,16,1555,0.836,19127772,0.00129790338362461
"56","Europe","Isle of Man",0,336,0,0,24,0,85410,0.00393396557780119
"57","Europe","Austria",18,17341,1.99,2,690,0.221,9043072,0.00191760056759473
"58","Europe","Luxembourg",8,4099,12.602,0,110,0,634814,0.00645700945473792
"59","Europe","Ireland",8,25303,1.605,1,1706,0.201,4982904,0.00507796256961804
"60","Europe","Russia",8241,544725,56.479,193,7274,1.323,145912022,0.00373324276186098
"61","South America","Peru",0,214788,0,600,27825,17.986,33359415,0.00643860211577451
"62","South America","Ecuador",523,44440,29.237,30,3720,1.677,17888474,0.00248428121929238
"63","South America","Suriname",38,357,64.211,1,10,1.69,591798,0.000603246377987083
"64","South America","Venezuela",351,5130,12.228,1,42,0.035,28704947,0.000178714839640707
"65","South America","Uruguay",11,845,3.156,0,23,0,3485152,0.000242457143906492
"66","South America","Argentina",2606,52457,57.142,34,1150,0.746,45605823,0.00115022592619368
"67","South America","Ecuador",0,50640,0,0,4223,0,17888474,0.00283087310857259
"68","South America","Suriname",0,319,0,1,9,1.69,591798,0.000539035278929635
"69","South America","Colombia",3059,63276,59.669,95,2045,1.853,51265841,0.00123427215404503
"70","South America","Peru",3598,254936,107.856,766,33340,22.962,33359415,0.00764210043851189
"71","South America","Bolivia",810,19883,68.453,27,659,2.282,11832936,0.00168030994167466
"72","South America","Paraguay",42,1187,5.817,0,11,0,7219641,0.000164412607219666
"73","South America","Peru",2511,257447,75.271,354,33694,10.612,33359415,0.00771737154263646
"74","South America","Colombia",1646,46858,32.107,57,1545,1.112,51265841,0.000914019922154403
"75","South America","Suriname",25,261,42.244,0,6,0,591798,0.000441028864578792
"76","South America","Chile",5355,236748,278.727,202,4295,10.514,19212362,0.0123226909840654
"77","South America","Uruguay",3,932,0.861,0,27,0,3485152,0.000267420187125267
"78","South America","Uruguay",5,907,1.435,0,26,0,3485152,0.00026024689884401
"79","South America","Paraguay",45,1135,6.233,0,11,0,7219641,0.000157210033019647
"80","South America","Venezuela",216,4779,7.525,2,41,0.07,28704947,0.000166486982191606
"81","North America","Guatemala",641,12509,35.124,34,483,1.863,18249868,0.000685429615162148
"82","North America","Montserrat",0,11,0,0,1,0,4981,0.00220839188917888
"83","North America","Honduras",320,9178,31.8,10,322,0.994,10062994,0.000912054603232398
"84","North America","British Virgin Islands",0,8,0,0,1,0,30423,0.000262958945534628
"85","North America","Canada",411,99959,10.796,28,8470,0.736,38067913,0.00262580719883436
"86","North America","Aruba",0,101,0,0,3,0,107195,0.000942208125378982
"87","North America","Belize",1,20,2.47,0,2,0,404915,4.9393082498796e-05
"88","North America","Cuba",14,2133,1.237,0,83,0,11317498,0.00018846921819646
"89","North America","Montserrat",0,11,0,0,1,0,4981,0.00220839188917888
"90","North America","Barbados",0,92,0,0,7,0,287708,0.000319768654330085
"91","North America","British Virgin Islands",0,8,0,0,1,0,30423,0.000262958945534628
"92","North America","Haiti",97,5077,8.404,1,88,0.087,11541683,0.000439883854027181
"93","North America","Panama",635,22597,144.925,13,470,2.967,4381583,0.00515726850318709
"94","North America","Costa Rica",139,3269,27.048,0,15,0,5139053,0.000636109415489585
"95","North America","Barbados",0,92,0,0,7,0,287708,0.000319768654330085
"96","North America","Curacao",0,21,0,0,1,0,164796,0.000127430277433918
"97","North America","Haiti",204,3538,17.675,3,54,0.26,11541683,0.000306541082440057
"98","North America","Mexico",3494,142690,26.823,424,16872,3.255,130262220,0.00109540586672022
"99","North America","Dominican Republic",571,22008,52.128,7,568,0.639,10953714,0.00200918154335598
"100","North America","Antigua and Barbuda",0,26,0,0,3,0,98728,0.00026334980957783
